name,nationality,position,division,opponent,match_date,phase,sets_won,sets_played,points_scored,attack_kills,attack_faults,attack_shots,attack_total,block_kills,block_faults,block_rebounds,block_total,serve_aces,serve_errors,serve_attempts,serve_total,rec_excellents,rec_faults,rec_attempts,rec_total,dig_excellents,dig_faults,dig_attempts,dig_total,set_excellents,set_faults,set_stills,set_total
Elise VAN SAS,Belgium,Setter,Women,Italy,2022-06-02,Pool,1,4,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,1,1,0,14,15
Britt HERBOTS,Belgium,Outside Hitter,Women,Italy,2022-06-02,Pool,1,4,26,24,6,25,55,2,4,1,7,0,4,10,14,2,1,23,26,7,4,1,12,0,0,1,1
Nathalie LEMMENS,Belgium,Middle Blocker,Women,Italy,2022-06-02,Pool,1,4,8,4,2,4,10,4,3,8,15,0,1,9,10,0,0,0,0,2,2,1,5,0,0,3,3
Celine VAN GESTEL,Belgium,Outside Hitter,Women,Italy,2022-06-02,Pool,1,4,9,8,7,17,32,1,2,1,4,0,1,14,15,10,2,20,32,6,5,1,12,0,0,0,0
Nel DEMEYER,Belgium,Libero,Women,Italy,2022-06-02,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pauline MARTIN,Belgium,Opposite Spiker,Women,Italy,2022-06-02,Pool,1,4,11,9,4,10,23,0,1,2,3,2,1,13,16,0,0,0,0,4,2,3,9,1,1,1,3
Stien GORIS,Belgium,Outside Hitter,Women,Italy,2022-06-02,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte KRENICKY,Belgium,Setter,Women,Italy,2022-06-02,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlies JANSSENS,Belgium,Middle Blocker,Women,Italy,2022-06-02,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jutta VAN DE VYVER,Belgium,Setter,Women,Italy,2022-06-02,Pool,1,4,1,0,0,1,1,0,3,2,5,1,2,11,14,0,0,0,0,8,0,1,9,7,1,95,103
Britt RAMPELBERG,Belgium,Libero,Women,Italy,2022-06-02,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,17,24,9,4,2,15,0,0,5,5
Silke VAN AVERMAET,Belgium,Middle Blocker,Women,Italy,2022-06-02,Pool,1,4,10,7,3,9,19,2,8,4,14,1,0,12,13,0,0,1,1,1,1,0,2,0,0,0,0
Manon STRAGIER,Belgium,Outside Hitter,Women,Italy,2022-06-02,Pool,1,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,1
Anna KOULBERG,Belgium,Middle Blocker,Women,Italy,2022-06-02,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Elise VAN SAS,Belgium,Setter,Women,Serbia,2022-06-01,Pool,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Britt HERBOTS,Belgium,Outside Hitter,Women,Serbia,2022-06-01,Pool,1,4,31,27,6,42,75,1,3,4,8,3,2,10,15,5,1,18,24,4,1,1,6,0,0,2,2
Nathalie LEMMENS,Belgium,Middle Blocker,Women,Serbia,2022-06-01,Pool,1,4,2,1,0,2,3,1,3,4,8,0,0,4,4,0,0,0,0,0,1,0,1,0,0,2,2
Celine VAN GESTEL,Belgium,Outside Hitter,Women,Serbia,2022-06-01,Pool,1,4,9,8,6,21,35,0,4,4,8,1,1,14,16,5,1,24,30,10,3,5,18,0,0,3,3
Nel DEMEYER,Belgium,Libero,Women,Serbia,2022-06-01,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,5,4,1,10,0,0,3,3
Pauline MARTIN,Belgium,Opposite Spiker,Women,Serbia,2022-06-01,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stien GORIS,Belgium,Outside Hitter,Women,Serbia,2022-06-01,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte KRENICKY,Belgium,Setter,Women,Serbia,2022-06-01,Pool,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4
Marlies JANSSENS,Belgium,Middle Blocker,Women,Serbia,2022-06-01,Pool,1,4,17,10,0,14,24,6,1,3,10,1,1,11,13,0,0,1,1,1,1,1,3,0,0,3,3
Jutta VAN DE VYVER,Belgium,Setter,Women,Serbia,2022-06-01,Pool,1,4,0,0,0,1,1,0,1,4,5,0,1,12,13,0,0,0,0,5,2,2,9,27,1,106,134
Britt RAMPELBERG,Belgium,Libero,Women,Serbia,2022-06-01,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,14,7,1,0,8,0,0,3,3
Silke VAN AVERMAET,Belgium,Middle Blocker,Women,Serbia,2022-06-01,Pool,1,4,3,3,1,14,18,0,5,4,9,0,1,8,9,0,0,0,0,3,0,0,3,0,0,0,0
Manon STRAGIER,Belgium,Outside Hitter,Women,Serbia,2022-06-01,Pool,1,4,5,4,1,6,11,1,1,2,4,0,2,9,11,3,0,5,8,0,1,0,1,0,0,0,0
Anna KOULBERG,Belgium,Middle Blocker,Women,Serbia,2022-06-01,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britt HERBOTS,Belgium,Outside Hitter,Women,Bulgaria,2022-06-19,Pool,3,5,26,23,11,50,84,3,4,5,12,0,3,21,24,7,1,27,35,12,3,1,16,0,0,2,2
Nathalie LEMMENS,Belgium,Middle Blocker,Women,Bulgaria,2022-06-19,Pool,3,5,8,5,3,4,12,3,1,7,11,0,1,8,9,0,0,0,0,1,0,0,1,0,0,6,6
Jodie GUILLIAMS,Belgium,Outside Hitter,Women,Bulgaria,2022-06-19,Pool,3,5,6,5,8,10,23,0,2,2,4,1,1,13,15,7,0,29,36,10,4,3,17,1,0,3,4
Celine VAN GESTEL,Belgium,Outside Hitter,Women,Bulgaria,2022-06-19,Pool,3,5,0,0,0,3,3,0,1,2,3,0,0,4,4,2,0,6,8,7,4,0,11,0,0,0,0
Nel DEMEYER,Belgium,Libero,Women,Bulgaria,2022-06-19,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,3,4,19,0,0,6,6
Pauline MARTIN,Belgium,Opposite Spiker,Women,Bulgaria,2022-06-19,Pool,3,5,5,4,3,2,9,0,0,2,2,1,0,4,5,0,0,0,0,5,1,0,6,0,0,2,2
Stien GORIS,Belgium,Outside Hitter,Women,Bulgaria,2022-06-19,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte KRENICKY,Belgium,Setter,Women,Bulgaria,2022-06-19,Pool,3,5,3,1,0,1,2,1,1,6,8,1,2,6,9,0,0,0,0,6,2,2,10,10,1,47,58
Marlies JANSSENS,Belgium,Middle Blocker,Women,Bulgaria,2022-06-19,Pool,3,5,10,8,0,8,16,1,2,5,8,1,5,10,16,0,0,0,0,5,0,0,5,0,0,0,0
Jutta VAN DE VYVER,Belgium,Setter,Women,Bulgaria,2022-06-19,Pool,3,5,4,2,0,0,2,0,0,2,2,2,1,10,13,0,0,0,0,11,1,0,12,19,1,70,90
Britt RAMPELBERG,Belgium,Libero,Women,Bulgaria,2022-06-19,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,17,7,1,1,9,0,1,6,7
Silke VAN AVERMAET,Belgium,Middle Blocker,Women,Bulgaria,2022-06-19,Pool,3,5,13,9,3,14,26,3,8,8,19,1,1,6,8,0,0,0,0,9,1,2,12,0,0,1,1
Manon STRAGIER,Belgium,Outside Hitter,Women,Bulgaria,2022-06-19,Pool,3,5,1,0,0,1,1,0,0,0,0,1,1,2,4,0,0,0,0,2,0,0,2,0,0,0,0
Anna KOULBERG,Belgium,Middle Blocker,Women,Bulgaria,2022-06-19,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britt HERBOTS,Belgium,Outside Hitter,Women,Poland,2022-06-18,Pool,3,5,33,33,8,43,84,0,0,6,6,0,2,14,16,4,1,9,14,7,0,1,8,1,0,2,3
Nathalie LEMMENS,Belgium,Middle Blocker,Women,Poland,2022-06-18,Pool,3,5,8,6,0,5,11,2,4,4,10,0,1,15,16,0,0,1,1,3,1,0,4,0,0,2,2
Jodie GUILLIAMS,Belgium,Outside Hitter,Women,Poland,2022-06-18,Pool,3,5,3,3,5,4,12,0,4,0,4,0,1,12,13,4,2,17,23,15,4,0,19,0,0,3,3
Celine VAN GESTEL,Belgium,Outside Hitter,Women,Poland,2022-06-18,Pool,3,5,7,5,3,17,25,1,5,4,10,1,0,19,20,2,0,14,16,11,0,0,11,0,0,6,6
Nel DEMEYER,Belgium,Libero,Women,Poland,2022-06-18,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,16,0,1,4,5
Pauline MARTIN,Belgium,Opposite Spiker,Women,Poland,2022-06-18,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stien GORIS,Belgium,Outside Hitter,Women,Poland,2022-06-18,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte KRENICKY,Belgium,Setter,Women,Poland,2022-06-18,Pool,3,5,1,1,0,0,1,0,4,3,7,0,0,9,9,0,0,0,0,9,2,1,12,13,0,66,79
Marlies JANSSENS,Belgium,Middle Blocker,Women,Poland,2022-06-18,Pool,3,5,12,6,4,7,17,5,6,7,18,1,2,10,13,0,0,0,0,7,3,0,10,1,0,0,1
Jutta VAN DE VYVER,Belgium,Setter,Women,Poland,2022-06-18,Pool,3,5,0,0,0,2,2,0,1,0,1,0,0,4,4,0,0,0,0,5,3,0,8,8,0,47,55
Britt RAMPELBERG,Belgium,Libero,Women,Poland,2022-06-18,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,29,37,13,3,1,17,0,0,11,11
Silke VAN AVERMAET,Belgium,Middle Blocker,Women,Poland,2022-06-18,Pool,3,5,5,4,0,3,7,0,3,5,8,1,1,2,4,0,0,0,0,1,0,0,1,0,0,0,0
Manon STRAGIER,Belgium,Outside Hitter,Women,Poland,2022-06-18,Pool,3,5,2,0,0,0,0,0,0,0,0,2,0,5,7,0,0,0,0,0,1,0,1,0,0,0,0
Anna KOULBERG,Belgium,Middle Blocker,Women,Poland,2022-06-18,Pool,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britt HERBOTS,Belgium,Outside Hitter,Women,Canada,2022-06-16,Pool,1,4,29,24,4,31,59,4,1,2,7,1,0,11,12,1,0,7,8,7,5,0,12,0,0,1,1
Nathalie LEMMENS,Belgium,Middle Blocker,Women,Canada,2022-06-16,Pool,1,4,2,1,1,4,6,0,3,5,8,1,0,18,19,0,0,0,0,3,0,0,3,0,0,2,2
Jodie GUILLIAMS,Belgium,Outside Hitter,Women,Canada,2022-06-16,Pool,1,4,7,5,2,10,17,1,3,4,8,1,1,9,11,4,1,13,18,6,3,0,9,0,0,1,1
Celine VAN GESTEL,Belgium,Outside Hitter,Women,Canada,2022-06-16,Pool,1,4,16,12,2,8,22,2,4,1,7,2,1,16,19,4,1,24,29,11,7,0,18,0,0,3,3
Pauline MARTIN,Belgium,Opposite Spiker,Women,Canada,2022-06-16,Pool,1,4,4,2,3,0,5,2,1,1,4,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0
Stien GORIS,Belgium,Outside Hitter,Women,Canada,2022-06-16,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte KRENICKY,Belgium,Setter,Women,Canada,2022-06-16,Pool,1,4,1,1,0,0,1,0,1,1,2,0,0,4,4,0,0,0,0,1,1,0,2,2,0,26,28
Marlies JANSSENS,Belgium,Middle Blocker,Women,Canada,2022-06-16,Pool,1,4,8,5,3,4,12,3,3,1,7,0,2,9,11,0,0,0,0,1,0,1,2,2,0,6,8
Jutta VAN DE VYVER,Belgium,Setter,Women,Canada,2022-06-16,Pool,1,4,1,0,0,1,1,1,0,0,1,0,2,12,14,0,0,0,0,9,3,3,15,4,2,57,63
Britt RAMPELBERG,Belgium,Libero,Women,Canada,2022-06-16,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,19,27,7,9,1,17,0,0,12,12
Anna KOULBERG,Belgium,Middle Blocker,Women,Canada,2022-06-16,Pool,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britt HERBOTS,Belgium,Outside Hitter,Women,China,2022-06-15,Pool,0,3,6,5,4,2,11,0,0,0,0,1,0,4,5,0,0,0,0,0,1,0,1,0,0,1,1
Nathalie LEMMENS,Belgium,Middle Blocker,Women,China,2022-06-15,Pool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jodie GUILLIAMS,Belgium,Outside Hitter,Women,China,2022-06-15,Pool,0,3,7,7,3,9,19,0,1,2,3,0,1,11,12,5,1,10,16,4,3,1,8,0,0,2,2
Celine VAN GESTEL,Belgium,Outside Hitter,Women,China,2022-06-15,Pool,0,3,11,10,5,13,28,0,0,1,1,1,2,5,8,7,1,36,44,8,0,0,8,0,0,1,1
Pauline MARTIN,Belgium,Opposite Spiker,Women,China,2022-06-15,Pool,0,3,11,11,4,8,23,0,0,1,1,0,1,5,6,0,0,0,0,5,2,0,7,0,0,2,2
Stien GORIS,Belgium,Outside Hitter,Women,China,2022-06-15,Pool,0,3,4,4,1,5,10,0,3,4,7,0,1,6,7,0,0,0,0,3,4,0,7,0,0,1,1
Charlotte KRENICKY,Belgium,Setter,Women,China,2022-06-15,Pool,0,3,1,1,0,0,1,0,0,0,0,0,0,6,6,0,0,0,0,10,0,1,11,11,2,45,58
Marlies JANSSENS,Belgium,Middle Blocker,Women,China,2022-06-15,Pool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jutta VAN DE VYVER,Belgium,Setter,Women,China,2022-06-15,Pool,0,3,0,0,0,0,0,0,2,0,2,0,0,3,3,0,0,0,0,0,2,1,3,6,1,21,28
Britt RAMPELBERG,Belgium,Libero,Women,China,2022-06-15,Pool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,13,6,1,20,0,0,10,10
Anna KOULBERG,Belgium,Middle Blocker,Women,China,2022-06-15,Pool,0,3,6,6,2,3,11,0,1,2,3,0,1,8,9,0,0,1,1,1,2,0,3,0,0,0,0
Diana DUARTE ALECRIM,Brazil,Middle Blocker,Women,Serbia,2022-06-19,Pool,3,3,5,2,1,4,7,3,2,6,11,0,0,9,9,0,0,0,0,2,0,0,2,0,0,0,0
Julia GAMBATTO KUDIESS,Brazil,Middle Blocker,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ana Carolina DA SILVA,Brazil,Middle Blocker,Women,Serbia,2022-06-19,Pool,3,3,13,6,0,2,8,6,4,5,15,1,1,11,13,0,0,0,0,1,2,2,5,0,0,2,2
Priscila ZALEWSKI DAROIT MOREIRA,Brazil,Outside Hitter,Women,Serbia,2022-06-19,Pool,3,3,14,9,3,14,26,5,3,7,15,0,0,7,7,13,0,13,26,8,1,1,10,0,0,0,0
Nyeme Victoria ALEXANDRE COSTA NUNES,Brazil,Libero,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,14,15,1,1,17,0,0,7,7
Rosamaria MONTIBELLER,Brazil,Outside Hitter,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macris Fernanda SILVA CARNEIRO,Brazil,Setter,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,1,1,0,3,5,8,0,2,9,11,0,0,0,0,2,2,0,4,20,0,65,85
Roberta Silva RATZKE,Brazil,Setter,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,4,6
Gabriela BRAGA GUIMARAES,Brazil,Outside Hitter,Women,Serbia,2022-06-19,Pool,3,3,14,14,7,14,35,0,0,3,3,0,1,23,24,4,0,2,6,7,1,1,9,0,0,1,1
Ana Cristina MENEZES OLIVEIRA DE SOUZA,Brazil,Outside Hitter,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natália ARAUJO,Brazil,Libero,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorena Giovana VIEZEL,Brazil,Middle Blocker,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kisy NASCIMENTO,Brazil,Opposite Spiker,Women,Serbia,2022-06-19,Pool,3,3,14,9,4,11,24,5,2,6,13,0,0,7,7,1,0,1,2,10,0,1,11,0,0,1,1
Julia Isabelle BERGMANN,Brazil,Outside Hitter,Women,Serbia,2022-06-19,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diana DUARTE ALECRIM,Brazil,Middle Blocker,Women,Italy,2022-06-18,Pool,1,4,5,1,2,3,6,2,3,0,5,2,2,10,14,1,0,0,1,2,0,0,2,0,0,0,0
Julia GAMBATTO KUDIESS,Brazil,Middle Blocker,Women,Italy,2022-06-18,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ana Carolina DA SILVA,Brazil,Middle Blocker,Women,Italy,2022-06-18,Pool,1,4,9,6,3,2,11,2,6,4,12,1,1,11,13,1,0,1,2,2,0,0,2,0,0,1,1
Priscila ZALEWSKI DAROIT MOREIRA,Brazil,Outside Hitter,Women,Italy,2022-06-18,Pool,1,4,4,2,3,2,7,0,0,0,0,2,0,2,4,1,0,2,3,1,0,0,1,0,0,0,0
Nyeme Victoria ALEXANDRE COSTA NUNES,Brazil,Libero,Women,Italy,2022-06-18,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,27,6,5,1,12,0,0,5,5
Rosamaria MONTIBELLER,Brazil,Outside Hitter,Women,Italy,2022-06-18,Pool,1,4,1,1,1,3,5,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0
Macris Fernanda SILVA CARNEIRO,Brazil,Setter,Women,Italy,2022-06-18,Pool,1,4,1,0,1,0,1,1,2,1,4,0,1,6,7,0,0,1,1,1,2,0,3,26,1,54,81
Roberta Silva RATZKE,Brazil,Setter,Women,Italy,2022-06-18,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,5,0,9,14
Gabriela BRAGA GUIMARAES,Brazil,Outside Hitter,Women,Italy,2022-06-18,Pool,1,4,8,8,6,10,24,0,2,2,4,0,2,8,10,10,1,10,21,4,0,1,5,0,0,1,1
Ana Cristina MENEZES OLIVEIRA DE SOUZA,Brazil,Outside Hitter,Women,Italy,2022-06-18,Pool,1,4,2,2,2,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,2
Natália ARAUJO,Brazil,Libero,Women,Italy,2022-06-18,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorena Giovana VIEZEL,Brazil,Middle Blocker,Women,Italy,2022-06-18,Pool,1,4,0,0,1,1,2,0,1,1,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Kisy NASCIMENTO,Brazil,Opposite Spiker,Women,Italy,2022-06-18,Pool,1,4,12,12,4,6,22,0,3,0,3,0,2,5,7,0,0,0,0,3,0,0,3,0,0,0,0
Julia Isabelle BERGMANN,Brazil,Outside Hitter,Women,Italy,2022-06-18,Pool,1,4,8,8,3,4,15,0,1,1,2,0,3,6,9,9,0,12,21,2,0,2,4,0,0,0,0
Diana DUARTE ALECRIM,Brazil,Middle Blocker,Women,Netherlands,2022-06-17,Pool,3,3,5,2,2,2,6,3,1,5,9,0,0,7,7,0,0,0,0,1,0,0,1,0,0,2,2
Julia GAMBATTO KUDIESS,Brazil,Middle Blocker,Women,Netherlands,2022-06-17,Pool,3,3,0,0,0,0,0,0,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Ana Carolina DA SILVA,Brazil,Middle Blocker,Women,Netherlands,2022-06-17,Pool,3,3,7,4,2,1,7,2,1,6,9,1,0,7,8,0,0,0,0,0,0,0,0,0,0,3,3
Priscila ZALEWSKI DAROIT MOREIRA,Brazil,Outside Hitter,Women,Netherlands,2022-06-17,Pool,3,3,13,12,3,10,25,1,0,1,2,0,1,12,13,9,0,10,19,4,4,3,11,0,0,1,1
Nyeme Victoria ALEXANDRE COSTA NUNES,Brazil,Libero,Women,Netherlands,2022-06-17,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,16,13,1,2,16,0,0,5,5
Rosamaria MONTIBELLER,Brazil,Outside Hitter,Women,Netherlands,2022-06-17,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Macris Fernanda SILVA CARNEIRO,Brazil,Setter,Women,Netherlands,2022-06-17,Pool,3,3,0,0,0,1,1,0,2,1,3,0,0,14,14,0,0,0,0,3,2,1,6,17,0,47,64
Roberta Silva RATZKE,Brazil,Setter,Women,Netherlands,2022-06-17,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,10,14
Gabriela BRAGA GUIMARAES,Brazil,Outside Hitter,Women,Netherlands,2022-06-17,Pool,3,3,13,13,4,12,29,0,1,1,2,0,1,11,12,10,1,2,13,10,2,0,12,0,0,1,1
Ana Cristina MENEZES OLIVEIRA DE SOUZA,Brazil,Outside Hitter,Women,Netherlands,2022-06-17,Pool,3,3,1,1,1,2,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Natália ARAUJO,Brazil,Libero,Women,Netherlands,2022-06-17,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorena Giovana VIEZEL,Brazil,Middle Blocker,Women,Netherlands,2022-06-17,Pool,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kisy NASCIMENTO,Brazil,Opposite Spiker,Women,Netherlands,2022-06-17,Pool,3,3,13,8,2,9,19,4,1,0,5,1,4,9,14,0,0,0,0,5,0,0,5,0,0,0,0
Julia Isabelle BERGMANN,Brazil,Outside Hitter,Women,Netherlands,2022-06-17,Pool,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diana DUARTE ALECRIM,Brazil,Middle Blocker,Women,Türkiye,2022-06-16,Pool,3,4,9,4,0,5,9,2,0,0,2,3,1,13,17,0,0,0,0,1,1,1,3,0,0,3,3
Julia GAMBATTO KUDIESS,Brazil,Middle Blocker,Women,Türkiye,2022-06-16,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ana Carolina DA SILVA,Brazil,Middle Blocker,Women,Türkiye,2022-06-16,Pool,3,4,14,8,1,3,12,6,5,4,15,0,1,11,12,0,0,0,0,0,1,1,2,0,1,2,3
Priscila ZALEWSKI DAROIT MOREIRA,Brazil,Outside Hitter,Women,Türkiye,2022-06-16,Pool,3,4,8,6,2,5,13,1,0,0,1,1,1,3,5,4,1,16,21,1,0,1,2,0,0,0,0
Nyeme Victoria ALEXANDRE COSTA NUNES,Brazil,Libero,Women,Türkiye,2022-06-16,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,18,12,7,0,19,0,0,12,12
Rosamaria MONTIBELLER,Brazil,Outside Hitter,Women,Türkiye,2022-06-16,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Macris Fernanda SILVA CARNEIRO,Brazil,Setter,Women,Türkiye,2022-06-16,Pool,3,4,1,0,0,1,1,1,2,1,4,0,1,20,21,0,0,0,0,4,1,1,6,35,0,64,99
Roberta Silva RATZKE,Brazil,Setter,Women,Türkiye,2022-06-16,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,3,6,0,7,13
Gabriela BRAGA GUIMARAES,Brazil,Outside Hitter,Women,Türkiye,2022-06-16,Pool,3,4,20,16,11,9,36,2,1,4,7,2,1,17,20,8,0,7,15,7,1,0,8,0,0,1,1
Ana Cristina MENEZES OLIVEIRA DE SOUZA,Brazil,Outside Hitter,Women,Türkiye,2022-06-16,Pool,3,4,1,1,2,9,12,0,0,2,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Natália ARAUJO,Brazil,Libero,Women,Türkiye,2022-06-16,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorena Giovana VIEZEL,Brazil,Middle Blocker,Women,Türkiye,2022-06-16,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kisy NASCIMENTO,Brazil,Opposite Spiker,Women,Türkiye,2022-06-16,Pool,3,4,18,13,4,15,32,5,2,4,11,0,0,6,6,0,0,0,0,4,2,0,6,0,1,1,2
Julia Isabelle BERGMANN,Brazil,Outside Hitter,Women,Türkiye,2022-06-16,Pool,3,4,8,8,4,7,19,0,1,1,2,0,2,4,6,14,1,19,34,4,1,0,5,0,0,1,1
Diana DUARTE ALECRIM,Brazil,Middle Blocker,Women,United States,2022-06-05,Pool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ana Carolina DA SILVA,Brazil,Middle Blocker,Women,United States,2022-06-05,Pool,0,3,8,3,1,4,8,5,5,5,15,0,1,8,9,0,0,0,0,3,0,0,3,0,0,2,2
Priscila ZALEWSKI DAROIT MOREIRA,Brazil,Outside Hitter,Women,United States,2022-06-05,Pool,0,3,7,6,1,13,20,1,3,2,6,0,1,10,11,10,0,5,15,3,3,1,7,0,0,0,0
Nyeme Victoria ALEXANDRE COSTA NUNES,Brazil,Libero,Women,United States,2022-06-05,Pool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,5,0,1,6,0,0,3,3
Macris Fernanda SILVA CARNEIRO,Brazil,Setter,Women,United States,2022-06-05,Pool,0,3,1,1,1,1,3,0,1,1,2,0,1,11,12,0,0,0,0,8,1,1,10,13,0,49,62
Roberta Silva RATZKE,Brazil,Setter,Women,United States,2022-06-05,Pool,0,3,1,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,2,0,9,11
