team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
Germany,Netherlands,Men,Pool,1,4,"[25, 29, 23, 16]",55,9,1,28,93,86,81,133,25,103
Netherlands,Germany,Men,Pool,3,4,"[22, 31, 25, 25]",57,15,6,25,103,78,74,125,28,93
Argentina,China,Men,Pool,3,4,"[25, 22, 25, 25]",61,6,3,27,97,58,74,101,29,91
China,Argentina,Men,Pool,1,4,"[22, 25, 22, 22]",54,6,2,29,91,52,75,102,27,97
Serbia,Canada,Men,Pool,3,5,"[20, 19, 25, 26, 15]",58,6,3,38,105,38,80,100,34,105
Canada,Serbia,Men,Pool,2,5,"[25, 25, 20, 24, 11]",54,9,8,34,105,19,83,100,38,105
Japan,Italy,Men,Pool,3,5,"[25, 21, 24, 25, 15]",64,2,14,30,110,71,81,127,23,103
Italy,Japan,Men,Pool,2,5,"[20, 25, 26, 19, 13]",63,14,3,23,103,47,96,104,30,110
Iran,Brazil,Men,Pool,0,3,"[28, 23, 19]",35,5,4,26,70,13,60,66,18,80
Brazil,Iran,Men,Pool,3,3,"[30, 25, 25]",50,7,5,18,80,22,59,83,26,70
Australia,Bulgaria,Men,Pool,3,5,"[21, 25, 25, 20, 17]",61,8,7,32,108,42,86,122,23,100
Bulgaria,Australia,Men,Pool,2,5,"[25, 13, 22, 25, 15]",53,17,7,23,100,32,94,118,32,108
Argentina,Netherlands,Men,Pool,2,5,"[25, 23, 25, 19, 13]",62,11,4,28,105,65,85,107,25,107
Netherlands,Argentina,Men,Pool,3,5,"[22, 25, 20, 25, 15]",66,8,8,25,107,67,88,127,28,105
Japan,France,Men,Pool,0,3,"[22, 25, 16]",40,2,1,20,63,60,62,95,25,77
France,Japan,Men,Pool,3,3,"[25, 27, 25]",39,8,5,25,77,54,48,86,20,63
Canada,Iran,Men,Pool,0,3,"[21, 25, 18]",40,3,4,17,64,28,62,80,29,77
Iran,Canada,Men,Pool,3,3,"[25, 27, 25]",40,4,4,29,77,23,44,63,17,64
Italy,Slovenia,Men,Pool,3,3,"[25, 25, 25]",49,5,6,15,75,46,48,88,19,56
