team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
Germany,France,Men,Pool 3,1,4,"[16, 19, 25, 21]",32,7,4,38,81,32,64,79,28,94
France,Germany,Men,Pool 3,3,4,"[25, 25, 19, 25]",48,10,8,28,94,45,57,86,38,81
Japan,Slovenia,Men,Pool 3,3,4,"[25, 22, 25, 25]",55,6,5,31,97,56,65,102,20,83
Slovenia,Japan,Men,Pool 3,1,4,"[21, 25, 18, 19]",52,9,2,20,83,54,79,103,31,97
Serbia,Australia,Men,Pool 4,3,3,"[25, 25, 25]",51,5,2,17,75,28,48,75,15,59
Australia,Serbia,Men,Pool 4,0,3,"[17, 20, 22]",37,6,1,15,59,12,63,62,17,75
Italy,China,Men,Pool 3,3,3,"[25, 25, 25]",45,11,7,12,75,38,52,74,20,58
China,Italy,Men,Pool 3,0,3,"[21, 18, 19]",31,4,3,20,58,39,59,80,12,75
United States,Poland,Men,Pool 4,1,4,"[25, 23, 24, 22]",49,5,8,32,94,27,79,96,29,97
Poland,United States,Men,Pool 4,3,4,"[21, 25, 26, 25]",57,7,4,29,97,38,78,103,32,94
Bulgaria,Brazil,Men,Pool 4,0,3,"[21, 19, 22]",38,8,3,13,62,17,62,75,18,75
Brazil,Bulgaria,Men,Pool 4,3,3,"[25, 25, 25]",44,9,4,18,75,26,52,66,13,62
United States,Germany,Men,Pool 5,3,4,"[25, 25, 22, 25]",59,4,7,27,97,55,67,106,31,83
Germany,United States,Men,Pool 5,1,4,"[21, 19, 25, 18]",47,3,2,31,83,68,78,125,27,97
Canada,Argentina,Men,Pool 5,1,4,"[21, 25, 21, 23]",53,4,3,29,89,60,77,107,38,99
Argentina,Canada,Men,Pool 5,3,4,"[25, 23, 25, 25]",50,7,4,38,99,49,70,109,29,89
Bulgaria,Italy,Men,Pool 6,0,3,"[15, 20, 23]",37,2,2,17,58,12,65,84,21,75
Italy,Bulgaria,Men,Pool 6,3,3,"[25, 25, 25]",37,11,6,21,75,20,48,68,17,58
Iran,Poland,Men,Pool 6,3,5,"[21, 25, 25, 25, 15]",56,5,9,41,111,37,79,106,22,104
Poland,Iran,Men,Pool 6,2,5,"[25, 23, 22, 27, 7]",60,12,10,22,104,36,95,108,41,111
Brazil,Germany,Men,Pool 5,3,4,"[25, 25, 25, 25]",63,6,6,25,100,60,69,106,23,83
Germany,Brazil,Men,Pool 5,1,4,"[27, 17, 20, 19]",51,6,3,23,83,57,85,118,25,100
Japan,Australia,Men,Pool 5,3,4,"[25, 25, 23, 25]",61,6,13,18,98,51,67,96,21,77
Australia,Japan,Men,Pool 5,1,4,"[18, 15, 25, 19]",51,4,1,21,77,41,81,84,18,98
Netherlands,China,Men,Pool 6,3,3,"[29, 25, 25]",43,13,10,13,79,18,49,71,13,52
China,Netherlands,Men,Pool 6,0,3,"[27, 12, 13]",33,6,0,13,52,24,66,67,13,79
Slovenia,Serbia,Men,Pool 6,3,3,"[25, 25, 25]",36,6,4,29,75,14,43,63,16,57
Serbia,Slovenia,Men,Pool 6,0,3,"[15, 19, 23]",36,3,2,16,57,18,62,85,29,75
France,United States,Men,Pool 5,2,5,"[25, 22, 25, 14, 8]",53,5,7,28,93,86,82,132,40,101
United States,France,Men,Pool 5,3,5,"[15, 25, 22, 25, 15]",46,9,6,40,101,61,68,104,28,93
Germany,Australia,Men,Pool 5,3,4,"[20, 25, 25, 26]",52,8,5,31,96,48,66,96,29,86
Australia,Germany,Men,Pool 5,1,4,"[25, 16, 21, 24]",48,5,4,29,86,50,77,88,31,96
Canada,Brazil,Men,Pool 5,0,3,"[18, 19, 16]",36,1,5,11,53,46,67,91,23,75
Brazil,Canada,Men,Pool 5,3,3,"[25, 25, 25]",43,5,4,23,75,49,45,73,11,53
Italy,Iran,Men,Pool 6,3,4,"[25, 25, 25, 25]",55,10,8,27,100,33,73,104,25,89
Iran,Italy,Men,Pool 6,1,4,"[16, 27, 23, 23]",49,7,8,25,89,32,83,114,27,100
Bulgaria,Slovenia,Men,Pool 6,1,4,"[22, 25, 18, 16]",45,9,4,23,81,13,83,99,31,97
Slovenia,Bulgaria,Men,Pool 6,3,4,"[25, 22, 25, 25]",53,10,3,31,97,27,64,94,23,81
Poland,China,Men,Pool 6,3,3,"[26, 25, 25]",40,4,12,20,76,13,43,60,14,58
China,Poland,Men,Pool 6,0,3,"[24, 16, 18]",34,8,2,14,58,13,65,59,20,76
Argentina,Australia,Men,Pool 5,3,4,"[21, 25, 25, 25]",54,12,8,22,96,62,68,100,26,82
Australia,Argentina,Men,Pool 5,1,4,"[25, 23, 19, 15]",46,7,3,26,82,46,81,91,22,96
France,Brazil,Men,Pool 5,3,3,"[25, 25, 25]",49,6,11,9,75,41,60,86,26,64
